,Date,ALLY,AXP,BAC,BCS,BK,BMO,C,CFG,COF,DB,DFS,FITB,GS,HBAN,HSBC,JPM,KEY,MS,MTB,MUFG,NTRS,Open,PNC,RF,SAN,SCHW,STT,TD,TFC,UBS,cor,cor_lw,eig,banks_index,spread,index,spread_ch
113,2000-06-19,,0.03883577733640786,0.007812256045669264,-0.014068367939943038,0.021489957131762827,0.022387878932727423,0.02592268156009281,,-0.01804069103553163,-0.008928486323008022,,0.0590529261656223,0.01876244145000361,-0.014492835816395266,-0.0041881586306696805,0.03163673085550278,0.02341128891114619,0.040832229856432534,0.008415614970652463,,0.08040215699542874,0.05133410323098597,0.009779586939184126,0.04923061187012001,0.006024527036146976,0.026022018577794848,0.013381649667145501,0.03571507242139571,0.01835979888985584,-0.009966712078773643,0.4333508386122293,0.45853070813191393,0.5211973882671227,-0.08464662587633132,1.69,0.0051546106711384265,-0.01744186046511631
118,2000-06-26,,0.04778540337567172,0.011872755115067912,0.006418455787120525,0.028416732501244546,0.0089692472047882,0.03434315857025605,,0.012802246747716017,0.017599913020468927,,0.019289253627428504,0.020349296745572953,0.003745915080272777,0.0033263295331087406,0.014666470272354903,0.003333858828023173,0.01309719854685909,0.004525527040663224,,0.025544333733958924,0.00023457773223889422,0.0,0.009036101440458522,0.0,0.019083634215507406,0.031668664306513605,-0.0024762151991114534,0.0024096196032681316,-0.005599780055528969,0.42250525951557505,0.4427590519221053,0.5039070665237604,0.01434785380974346,1.69,-0.015691777912479776,0.0
123,2000-07-03,,0.004795856548033939,0.04651231675263934,0.0099994871198672,0.045698634500408675,0.0,0.03630671545326036,,0.016807767428231868,0.02498105946278084,,0.03063259798300022,0.0016488546676869387,0.07114646855194562,0.009708885858827898,0.0397878760972199,0.06737585641242871,0.021021028888196014,0.0,,0.05091228493188438,0.02910891182507458,0.03999936812514027,0.05660346816104478,0.012048127843784728,-0.035316229162429935,-0.00883909409258743,0.015424355427517522,0.0628273984721881,-0.0034013016902907367,0.4184078550872039,0.42238702844289555,0.4985621901079594,-0.03772853197167414,1.71,0.009101753263975887,0.01183431952662728
127,2000-07-10,,0.02093066705940183,0.0,0.012889985852590158,-0.008986447291992494,-0.0028982143870781574,0.0009587801301438326,,0.005075790855180173,0.023529546675753243,,-0.02389442190253699,0.028966591736710567,-0.00350877436919228,0.00750294064860757,-0.006242218662598109,0.0,0.03034495970773121,-0.007080451015983424,,0.014493096576656983,-0.022110205236222757,-0.008526187858111545,0.01739163834893498,0.017543721980883387,-0.0018971704379748822,0.009449887924223743,-0.005182154289177343,0.004673122341055214,-0.003355646692865477,0.4169017771126992,0.4217309873469342,0.4932209768833998,0.0797296160309493,1.71,0.016705657387582784,0.0
132,2000-07-17,,-0.0044201602183217,-0.013157334320570424,-0.023840244891300655,0.03129127305426449,0.007288377937034518,-0.023896915687733,,-0.015318043463030007,0.044412631648385714,,-0.038598823489228384,-0.04019166079288283,-0.026616733893958355,-0.010710643390444807,-0.008928566845457064,-0.016233578024385853,-0.04036439781770218,0.0198740396899868,,0.02896114106225589,-0.022274584330350677,-0.01102931358392123,-0.02865316834142906,-0.005988449460467837,-0.04944171462642133,0.00834777303926404,0.010525580812611457,-0.02803713902591698,-0.004340341423898608,0.38776881589809165,0.39724057157439163,0.46560425229958136,0.017541471437275913,1.68,0.021015589655562605,-0.01754385964912286
137,2000-07-24,,-0.03691936732331147,-0.02692317574474734,-0.02233882263331788,0.0012498333398096584,0.017341211094817677,-0.0017636825539995016,,-0.03359475076072249,0.008196769128552939,,-0.011627804657246332,0.01079150338598156,0.011277522909066029,0.0,-0.022222032411994497,0.017065375989461673,-0.005940711739627069,0.002893889291310847,,0.016963830596660623,0.009306243289900262,0.01787876392666332,-0.0029153371505746817,0.012048127843784728,-0.02188607149375632,-0.005284704255322681,0.02887106120504268,0.012314914817739941,0.017621292900167784,0.3916829805326389,0.4065309403356506,0.46436427453058404,0.00816329679402683,1.68,-0.019728764253716835,0.0
142,2000-07-31,,0.012276805934491097,0.018818066724192617,-0.014237172242582807,-0.0026631631919395993,-0.014326470969921679,0.026387396779915084,,0.03135265382616992,0.0042194010190983455,,-0.025074068187378673,0.001903056204698439,-0.01181117215350913,0.04033789812873434,0.029715328475866665,-0.003546781247939501,0.0339941536442292,0.004918247461969338,,0.001672697612300711,0.013472951211351947,0.0036990507447505205,-0.009316848146296075,0.030674457320820192,0.0625002284598879,-0.011084257216046889,0.00526315191489557,0.03636391254043558,-0.0013039548341021723,0.33898918762355923,0.3598229145991163,0.42613933972610335,-0.033636262004652084,1.69,-0.04073796549416131,0.005952380952380931
147,2000-08-07,,-0.02507787764882785,-0.002381011580088188,-0.005102017555590699,0.003588582276764507,-0.008849261642609907,0.002551146825320094,,-0.008037721830140399,0.039473815464900364,,0.0013947087361303456,0.02528068815721829,0.01824785968278131,0.013452573001814239,0.02145390613740772,0.0,0.009591061237770093,-0.006174338369973831,,-0.012588570947238087,-0.03338113217044114,0.004338749391246788,-0.005746604076889872,0.030303043063748314,-0.0032459979688469476,-0.011757818186219682,0.007792405330675711,-0.004608874490205084,0.02666876622583758,0.32499960426052765,0.3487792557547347,0.4094115356615275,0.09437129995096383,1.69,0.030312234481877587,0.0
152,2000-08-14,,0.004183949390369035,0.017341408752973297,-0.012722684399153028,-0.0012015813493645444,0.022567045458521395,0.02157095235005535,,0.013230449434892488,0.0028330751863521186,,-0.007111659999639142,0.00729943149781298,0.010830657792284981,-0.002597616641944467,0.0144236361004757,-0.003134516620533212,0.023984668428860267,0.005605284653762643,,0.009338684455123092,-0.011444758149939949,0.0063971800481039676,0.011331583123302735,0.005916996768301264,0.025640715909623468,0.013452902405072242,0.033164053034929974,-0.004555378487591244,0.0049486160868177365,0.2818148391807634,0.26997689606908026,0.34112047302679244,0.004753514508847534,1.68,0.006090456674106681,-0.00591715976331364
157,2000-08-21,,0.010683529238884049,0.002325116025057028,-0.04431810363657129,0.0335051707037346,-0.015151981098861955,0.02799796129995924,,0.02844154089773121,-0.014104321293326727,,-0.015471004139224864,0.006944594243079916,0.003758722861718855,0.01048957392102201,0.003694989533808757,0.003205407125306703,0.014312614354238029,-0.00812341353168966,,0.012077170953781469,0.0052190779432225165,0.0032928698489882446,0.01749292697740401,-0.011110808306324715,0.020100682045030682,-0.009050013991660388,-0.01162771592986489,-0.004739234878872178,-0.0012364260606589905,0.27913885372814756,0.2926576612395206,0.350781911348333,-0.008287879183074942,1.7,0.013506906555382558,0.011904761904761862
