,Date,A5G.IR,ABN.AS,ACA.PA,ALPHA.AT,BAMI.MI,BARC.L,BBVA,BCP.LS,BIRG.IR,BKT.MC,BMPS.MI,BNP.PA,BPE.MI,CABK.MC,CBK.DE,DANSKE.CO,DBK.DE,DNB.OL,EBO.DE,ETE.AT,EUROB.AT,GLE.PA,INGA.AS,ISP.MI,JYSK.CO,KBC.BR,MB.MI,NDA-SE.ST,OTP.BD,PEO.WA,PKO.WA,RAW.DE,SAB.MC,SAN.MC,SEB-A.ST,SHB-A.ST,SWED-A.ST,SYDB.CO,TPEIR.AT,UCG.MI,UNI.MC,cor,cor_lw,eig,banks_index,spread,index,spread_ch
122,2000-06-26,-0.012658139419236214,,,-0.03247193213790034,0.00897247006860069,0.02619788495569919,0.013215903301971199,-0.012843969194601068,,-0.051799937689758324,-0.009732408214981003,0.012460756114205829,-0.00265764442594163,,0.028123969799676463,,0.013431283786287995,-0.019337120900799976,,-0.017190935778646832,-0.026066260320106727,-0.006462092790441076,0.01465508987992492,0.011389522419408049,,-0.0020330521057260187,0.016177899743673452,0.050419894205780746,,0.015267220735566411,,,-0.016128935964996982,0.015887778252735796,0.005207975247601082,0.020242928885062295,0.01556433920476663,0.0,-0.02006322318418885,0.0020704522932251113,,0.17279582495669968,0.041780893206616314,0.46722954721542975,-0.007363400552255039,6.89,,0.0014534883720929148
127,2000-07-03,0.007470667092600136,,,-0.002151271320783632,-0.0008291303517206083,0.004260244939480851,0.01271190536568123,0.016513844213069673,,-0.008598459438347139,-0.01860474170032722,0.02182533621592686,0.010643733973183966,,-0.030367558001264894,,0.029002415852120267,0.022471943482978984,,-0.005227955407781093,-0.007139587737662545,0.014285755736354044,-0.0028248975710040147,0.004263879400115744,,-0.006507503492599209,-0.017592722493519064,-0.015037666833992769,,0.017077866047586765,,,0.0,-0.005429887245566478,0.01435403747213404,-0.011718886546498886,-0.015503651868889134,-0.0009435262729229343,-0.0016646820492529635,0.003991975358877076,,0.16541782506514202,0.04166716126940898,0.4734588073566139,0.015510410520104712,7.19,,0.04354136429608135
132,2000-07-10,0.005434957629285808,,,-0.001125220480435396,0.0197858239354336,-0.005368809103901029,0.0,-0.0107144903057943,,-0.02775514916942534,-0.014150890295849483,0.015180066610406273,0.0,,0.020942107449399838,,0.03623578739972855,0.011331566707269314,,0.01178336171465677,0.014619780227082213,-0.007874001081205062,0.01833834118957589,-0.029166480753461954,,0.008699249198428793,-0.014705930013561797,-0.03999966225705953,,-0.007339417835183548,,,-0.021504837306702718,0.02629128767579547,0.0,0.0,-0.026315771065016036,0.0,0.003891048752136639,0.0,,0.1656311517782686,0.04143608282196071,0.4747313988061109,-0.003680030989734795,7.21,,0.0027816411682892728
137,2000-07-17,0.0206185872633462,,,0.013223910883730872,0.0016078547610043348,0.017821279406758705,0.0,-0.00180850903324703,,0.003253662984163297,0.0143540123499184,0.014851371874919472,0.0,,-0.028385340910230816,,0.035291510235839096,-0.01351375688608547,,0.02425168783154752,0.0018822862171214982,0.0024271190073892335,-0.00981780575940816,0.0084928911282518,,0.006382890963001042,0.005655413545821331,0.008064407578153965,,0.0037316002283440675,,,0.0,-0.01155530446513886,0.009132289099887503,-0.010869887462933048,0.007326440083285979,0.045112719219384756,-0.0020952420240742953,-0.011385157396223922,,0.15921460846653945,0.0407406902955667,0.4869042318472052,0.025577649411242076,7.16,,-0.006934812760055475
142,2000-07-24,0.0,,,-0.0028132264364664206,0.0,-0.005187760123858687,-0.008547273406768086,0.0,,0.0,-0.004717045006441989,-0.0009778090736010103,0.0,,-0.00636760811606063,,0.009708616078660137,0.0,,-0.0071865579608625385,-0.005591690298509144,0.0,0.028526815398689287,0.004219473189111422,,0.0,-0.006457660147004662,0.0,,0.0,,,0.0,-0.008984502141200057,0.0,0.0,0.0,0.0,-0.010047747848906274,-0.017077772725880735,,0.15606898978168424,0.0400922033846428,0.49176760988182255,0.009504725283652427,7.27,,0.015363128491620026
147,2000-07-31,-0.0022675082790085677,,,0.004806008215416879,0.023673794954594873,0.01958115332667476,0.035242534669296166,0.005309721951620494,,0.008158348872252974,0.0,0.012357675294441206,0.0,,0.03275218327116014,,0.002499744543932092,0.008287075533945254,,-0.018895182888172046,0.010915990465473202,0.002993957516210566,0.0018052202328522338,0.030303166249025848,,0.0,0.018164368560518618,0.007812105993359353,,0.011131731659013822,,,0.0,0.006044452481082541,0.004424635850509118,0.0,0.010830405341937022,-0.002070216282450188,0.003311223460968016,0.021359153862572366,,0.1536842206640839,0.03650379432026544,0.6615630665409274,0.003567596566523612,7.56,,0.03988995873452539
152,2000-08-07,0.012345890756751077,,,-0.047192190731692785,-0.0032129400032986366,0.030908465547288877,0.0309733358573947,0.0,,-0.01405383471633781,0.05181825763931713,-0.0009415917023212206,0.0,,0.015255058429683999,,0.031821703389210976,0.032608641181669284,,-0.04018176025984954,-0.015311097303914889,0.04025258092254291,0.009628787869754296,0.03731657913935349,,0.01033630002973096,0.019083929771986696,0.015504146629286897,,0.032504775410052256,,,0.0,0.019520876135409093,0.01351348588163348,-0.0034963532767403604,-0.02777759232510202,0.020548040792544908,-0.015642331640894902,0.05243435619248449,,0.15676900632417493,0.03633084891808132,0.6597468703923101,0.03774089220324495,7.74,,0.023809523809523947
157,2000-08-14,0.026315998857147083,,,-0.004656411955504813,0.005413692364088396,0.008386997457259238,0.016736213369148434,-0.00172673989318739,,-0.006275335502589741,0.0032729531043509397,0.007554134169467375,0.0025925815377323413,,0.0020646611975594364,,-0.004001980828731266,0.02222224380901827,,0.017281070237335827,0.008946429852192628,0.005384744863375479,0.001349812692089003,0.008059945088828568,,0.006762989629668148,0.010885028780605044,0.022556269562392872,,0.017921014697775073,,,0.0,0.005071350387549023,-0.026431508046956043,0.0,0.031141885592529173,0.0,0.031126034182891837,0.0,,0.157035107645923,0.036372935988359376,0.6603729955902885,0.016097875080489432,7.58,,-0.02067183462532296
162,2000-08-21,-0.012658159033157812,,,0.000407022241607935,0.0,0.0051431361944489495,-0.004000413422462157,0.0017094716359495887,,0.00919376616896539,0.005711815172189549,0.009276223613318368,0.0,,-0.004739288125530594,,-0.009129177099641006,-0.011764628287525225,,0.013399795110307755,-0.002980755761384901,0.01462676663527751,0.0006660506791922316,0.0012032125099405988,,0.01853665237176716,0.004028204298375249,0.007462493141292992,,-0.009008891271267805,,,0.022598803667727152,-0.01591099573476229,-0.018099618890528246,0.014084479898737845,-0.003484310015308467,0.0,0.0005600625278698868,0.005357157508125043,,0.15619411230970298,0.03861771395289763,0.7149611506298736,0.015310519645120424,7.54,,-0.00527704485488123
167,2000-08-28,0.001045098457716831,,,-0.021070230632902365,-0.0023149528138495246,0.0,-0.004065166067236503,0.0,,0.0041307263084635615,-0.0021081365028410293,-0.005581109583264299,-0.012855857367373158,,-0.020811141858452453,,-0.00823720759345592,0.0,,-0.028760368119211233,-0.018081675385897444,0.007593001593976023,-0.0009308813190999077,-0.016008413358458706,,-0.0019139632975224696,-0.010019324755001335,0.007812105993359353,,0.0035842658361244784,,,0.0,-0.004975344986418717,0.02183422871820606,0.006600737565859216,0.010638376257558368,0.0,-0.005678151980831547,0.0017951057668526005,,0.16039928394929437,0.038480135077711766,0.7279693726984936,-0.005392719828231973,7.9,,0.04774535809018565
